portfolio_id,security_id,holding_date,holding_source,data_cut,units,cost,portfolio_cost,price,purchase_date,settlement_date
portfolio_id_1,filInternalId0000001,2021-01-22,source_2,cut_1,100,30,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000002,2021-01-22,source_2,cut_1,101,32,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000003,2021-01-22,source_2,cut_1,102,34,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000004,2021-01-22,source_2,cut_1,103,36,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000005,2021-01-22,source_2,cut_1,104,38,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000006,2021-01-22,source_2,cut_1,105,40,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000007,2021-01-22,source_2,cut_1,106,42,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000008,2021-01-22,source_2,cut_1,107,44,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000009,2021-01-22,source_2,cut_1,108,46,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000010,2021-01-22,source_2,cut_1,109,48,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000011,2021-01-22,source_2,cut_1,110,50,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000012,2021-01-22,source_2,cut_1,111,52,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000013,2021-01-22,source_2,cut_1,112,54,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000014,2021-01-22,source_2,cut_1,113,56,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000015,2021-01-22,source_2,cut_1,114,58,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000016,2021-01-22,source_2,cut_1,115,60,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000017,2021-01-22,source_2,cut_1,116,62,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000018,2021-01-22,source_2,cut_1,117,64,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000019,2021-01-22,source_2,cut_1,118,66,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000020,2021-01-22,source_2,cut_1,119,68,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000021,2021-01-22,source_2,cut_1,120,70,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000022,2021-01-22,source_2,cut_1,121,72,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000023,2021-01-22,source_2,cut_1,122,74,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000024,2021-01-22,source_2,cut_1,123,76,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000025,2021-01-22,source_2,cut_1,124,78,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000026,2021-01-22,source_2,cut_1,125,80,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000027,2021-01-22,source_2,cut_1,126,82,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000028,2021-01-22,source_2,cut_1,127,84,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000029,2021-01-22,source_2,cut_1,128,86,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000030,2021-01-22,source_2,cut_1,129,88,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000031,2021-01-22,source_2,cut_1,130,90,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000032,2021-01-22,source_2,cut_1,131,92,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000033,2021-01-22,source_2,cut_1,132,94,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000034,2021-01-22,source_2,cut_1,133,96,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000035,2021-01-22,source_2,cut_1,134,98,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000036,2021-01-22,source_2,cut_1,135,100,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000037,2021-01-22,source_2,cut_1,136,102,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000038,2021-01-22,source_2,cut_1,137,104,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000039,2021-01-22,source_2,cut_1,138,106,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000040,2021-01-22,source_2,cut_1,139,108,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000041,2021-01-22,source_2,cut_1,140,110,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000042,2021-01-22,source_2,cut_1,141,112,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000043,2021-01-22,source_2,cut_1,142,114,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000044,2021-01-22,source_2,cut_1,143,116,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000045,2021-01-22,source_2,cut_1,144,118,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000046,2021-01-22,source_2,cut_1,145,120,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000047,2021-01-22,source_2,cut_1,146,122,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000048,2021-01-22,source_2,cut_1,147,124,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000049,2021-01-22,source_2,cut_1,148,126,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000050,2021-01-22,source_2,cut_1,149,128,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000051,2021-01-22,source_2,cut_1,150,130,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000052,2021-01-22,source_2,cut_1,151,132,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000053,2021-01-22,source_2,cut_1,152,134,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000054,2021-01-22,source_2,cut_1,153,136,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000055,2021-01-22,source_2,cut_1,154,138,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000056,2021-01-22,source_2,cut_1,155,140,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000057,2021-01-22,source_2,cut_1,156,142,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000058,2021-01-22,source_2,cut_1,157,144,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000059,2021-01-22,source_2,cut_1,158,146,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000060,2021-01-22,source_2,cut_1,159,148,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000061,2021-01-22,source_2,cut_1,160,150,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000062,2021-01-22,source_2,cut_1,161,152,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000063,2021-01-22,source_2,cut_1,162,154,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000064,2021-01-22,source_2,cut_1,163,156,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000065,2021-01-22,source_2,cut_1,164,158,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000066,2021-01-22,source_2,cut_1,165,160,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000067,2021-01-22,source_2,cut_1,166,162,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000068,2021-01-22,source_2,cut_1,167,164,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000069,2021-01-22,source_2,cut_1,168,166,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000070,2021-01-22,source_2,cut_1,169,168,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000071,2021-01-22,source_2,cut_1,170,170,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000072,2021-01-22,source_2,cut_1,171,172,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000073,2021-01-22,source_2,cut_1,172,174,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000074,2021-01-22,source_2,cut_1,173,176,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000075,2021-01-22,source_2,cut_1,174,178,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000076,2021-01-22,source_2,cut_1,175,180,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000077,2021-01-22,source_2,cut_1,176,182,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000078,2021-01-22,source_2,cut_1,177,184,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000079,2021-01-22,source_2,cut_1,178,186,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000080,2021-01-22,source_2,cut_1,179,188,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000081,2021-01-22,source_2,cut_1,180,190,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000082,2021-01-22,source_2,cut_1,181,192,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000083,2021-01-22,source_2,cut_1,182,194,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000084,2021-01-22,source_2,cut_1,183,196,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000085,2021-01-22,source_2,cut_1,184,198,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000086,2021-01-22,source_2,cut_1,185,200,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000087,2021-01-22,source_2,cut_1,186,202,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000088,2021-01-22,source_2,cut_1,187,204,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000089,2021-01-22,source_2,cut_1,188,206,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000090,2021-01-22,source_2,cut_1,189,208,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000091,2021-01-22,source_2,cut_1,190,210,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000092,2021-01-22,source_2,cut_1,191,212,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000093,2021-01-22,source_2,cut_1,192,214,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000094,2021-01-22,source_2,cut_1,193,216,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000095,2021-01-22,source_2,cut_1,194,218,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000096,2021-01-22,source_2,cut_1,195,220,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000097,2021-01-22,source_2,cut_1,196,222,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000098,2021-01-22,source_2,cut_1,197,224,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000099,2021-01-22,source_2,cut_1,198,226,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000100,2021-01-22,source_2,cut_1,199,228,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000101,2021-01-22,source_2,cut_1,200,230,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000102,2021-01-22,source_2,cut_1,201,232,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000103,2021-01-22,source_2,cut_1,202,234,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000104,2021-01-22,source_2,cut_1,203,236,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000105,2021-01-22,source_2,cut_1,204,238,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000106,2021-01-22,source_2,cut_1,205,240,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000107,2021-01-22,source_2,cut_1,206,242,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000108,2021-01-22,source_2,cut_1,207,244,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000109,2021-01-22,source_2,cut_1,208,246,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000110,2021-01-22,source_2,cut_1,209,248,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000111,2021-01-22,source_2,cut_1,210,250,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000112,2021-01-22,source_2,cut_1,211,252,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000113,2021-01-22,source_2,cut_1,212,254,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000114,2021-01-22,source_2,cut_1,213,256,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000115,2021-01-22,source_2,cut_1,214,258,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000116,2021-01-22,source_2,cut_1,215,260,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000117,2021-01-22,source_2,cut_1,216,262,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000118,2021-01-22,source_2,cut_1,217,264,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000119,2021-01-22,source_2,cut_1,218,266,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000120,2021-01-22,source_2,cut_1,219,268,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000121,2021-01-22,source_2,cut_1,220,270,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000122,2021-01-22,source_2,cut_1,221,272,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000123,2021-01-22,source_2,cut_1,222,274,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000124,2021-01-22,source_2,cut_1,223,276,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000125,2021-01-22,source_2,cut_1,224,278,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000126,2021-01-22,source_2,cut_1,225,280,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000127,2021-01-22,source_2,cut_1,226,282,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000128,2021-01-22,source_2,cut_1,227,284,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000129,2021-01-22,source_2,cut_1,228,286,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000130,2021-01-22,source_2,cut_1,229,288,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000131,2021-01-22,source_2,cut_1,230,290,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000132,2021-01-22,source_2,cut_1,231,292,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000133,2021-01-22,source_2,cut_1,232,294,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000134,2021-01-22,source_2,cut_1,233,296,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000135,2021-01-22,source_2,cut_1,234,298,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000136,2021-01-22,source_2,cut_1,235,300,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000137,2021-01-22,source_2,cut_1,236,302,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000138,2021-01-22,source_2,cut_1,237,304,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000139,2021-01-22,source_2,cut_1,238,306,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000140,2021-01-22,source_2,cut_1,239,308,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000141,2021-01-22,source_2,cut_1,240,310,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000142,2021-01-22,source_2,cut_1,241,312,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000143,2021-01-22,source_2,cut_1,242,314,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000144,2021-01-22,source_2,cut_1,243,316,60,21,2021-01-22,2021-01-25
portfolio_id_1,filInternalId0000145,2021-01-22,source_2,cut_1,244,318,60,21,2021-01-22,2021-01-25
